,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HTGDBG,HTGDAG,ATGDBG,ATGDAG,HTPBG,HTPAG,ATPBG,ATPAG,RATIO,CC,GO
0,07/08/15,Lille,Paris SG,0.0,1.0,A,6.5,3.6,1.57,0.0,-1.0,0.0,1.0,0,0,0,3,0,20,False
1,08/08/15,Bastia,Rennes,2.0,1.0,H,2.6,3.1,2.8,0.0,0.0,0.0,-1.0,0,0,0,0,0,20,False
2,08/08/15,Marseille,Caen,0.0,1.0,A,1.57,4.0,6.0,0.0,-1.0,0.0,1.0,0,0,0,3,0,20,False
3,08/08/15,Montpellier,Angers,0.0,2.0,A,1.83,3.4,4.75,0.0,-2.0,0.0,2.0,0,0,0,3,0,20,False
4,08/08/15,Nantes,Guingamp,1.0,0.0,H,2.2,3.1,3.6,0.0,1.0,0.0,-1.0,0,3,0,0,0,20,False
5,08/08/15,Nice,Monaco,1.0,2.0,A,4.0,3.1,2.05,0.0,-1.0,0.0,1.0,0,0,0,3,0,20,False
6,08/08/15,Troyes,Ajaccio GFCO,0.0,0.0,D,2.05,3.2,3.75,0.0,0.0,0.0,0.0,0,0,0,0,0,20,False
7,09/08/15,Bordeaux,Reims,1.0,2.0,A,1.67,3.75,5.5,0.0,-1.0,0.0,1.0,0,0,0,3,0,20,False
8,09/08/15,Lyon,Lorient,0.0,0.0,D,1.57,4.0,6.0,0.0,0.0,0.0,0.0,0,1,0,0,0,20,False
9,09/08/15,Toulouse,St Etienne,2.0,1.0,H,3.1,3.1,2.4,0.0,1.0,0.0,-1.0,0,3,0,0,0,20,False
10,14/08/15,Monaco,Lille,0.0,0.0,D,1.62,3.6,6.5,1.0,1.0,-1.0,-1.0,3,4,0,1,0,20,False
11,15/08/15,Angers,Nantes,0.0,0.0,D,2.5,3.1,3.1,2.0,2.0,1.0,1.0,3,4,3,4,0,20,False
12,15/08/15,Caen,Toulouse,1.0,0.0,H,2.2,3.4,3.25,1.0,2.0,1.0,0.0,3,6,3,3,0,20,False
13,15/08/15,Guingamp,Lyon,0.0,1.0,A,3.6,3.25,2.15,-1.0,-2.0,0.0,1.0,0,0,1,4,0,20,False
14,15/08/15,Rennes,Montpellier,1.0,0.0,H,2.25,3.1,3.5,-1.0,0.0,-2.0,-3.0,0,3,0,0,0,20,False
15,15/08/15,St Etienne,Bordeaux,1.0,1.0,D,1.95,3.4,4.2,-1.0,-1.0,-1.0,-1.0,0,1,0,1,0,20,False
16,15/08/15,Troyes,Nice,3.0,3.0,D,2.15,3.25,3.6,0.0,0.0,-1.0,-1.0,0,0,0,1,0,20,False
17,16/08/15,Lorient,Bastia,1.0,1.0,D,1.85,3.4,4.75,0.0,0.0,0.0,0.0,0,0,0,0,0,20,False
18,16/08/15,Paris SG,Ajaccio GFCO,2.0,0.0,H,1.11,10.0,21.0,1.0,3.0,0.0,0.0,3,6,0,0,0,20,False
19,16/08/15,Reims,Marseille,1.0,0.0,H,3.5,3.25,2.2,1.0,2.0,-1.0,-2.0,3,6,0,0,0,20,False
20,21/08/15,Montpellier,Paris SG,0.0,1.0,A,8.0,4.2,1.45,-3.0,-4.0,3.0,4.0,0,0,6,9,0,20,False
21,22/08/15,Ajaccio GFCO,Angers,0.0,2.0,A,2.3,3.0,3.6,0.0,0.0,2.0,4.0,0,0,4,7,0,20,False
22,22/08/15,Bastia,Guingamp,3.0,0.0,H,2.3,3.0,3.4,0.0,0.0,-2.0,-5.0,0,0,0,0,0,20,False
23,22/08/15,Lyon,Rennes,1.0,2.0,A,1.57,3.75,7.0,1.0,0.0,0.0,1.0,4,4,3,6,0,20,False
24,22/08/15,Nantes,Reims,1.0,0.0,H,2.2,3.1,3.6,1.0,2.0,2.0,1.0,4,7,6,6,0,20,False
25,22/08/15,Nice,Caen,2.0,1.0,H,2.2,3.3,3.4,-1.0,0.0,2.0,1.0,1,4,6,6,0,20,False
26,22/08/15,Toulouse,Monaco,1.0,1.0,D,3.1,3.1,2.5,0.0,0.0,1.0,1.0,3,4,4,5,0,20,False
27,23/08/15,Lille,Bordeaux,0.0,0.0,D,2.1,3.2,3.8,-1.0,-1.0,-1.0,-1.0,1,2,1,2,0,20,False
28,23/08/15,Lorient,St Etienne,0.0,1.0,A,2.63,3.0,3.0,0.0,0.0,-1.0,0.0,0,0,1,4,0,20,False
29,23/08/15,Marseille,Troyes,6.0,0.0,H,1.62,3.8,6.0,-2.0,4.0,0.0,0.0,0,3,0,0,0,20,False
30,28/08/15,Guingamp,Marseille,2.0,0.0,H,4.0,3.3,2.0,-5.0,-3.0,4.0,2.0,0,3,3,3,0,20,False
31,29/08/15,Angers,Nice,1.0,1.0,D,2.3,3.1,3.4,4.0,4.0,0.0,0.0,7,8,4,5,0,20,False
32,29/08/15,Caen,Lyon,0.0,4.0,A,3.3,3.3,2.25,1.0,-3.0,0.0,4.0,6,6,4,7,0,20,False
33,29/08/15,Lille,Ajaccio GFCO,1.0,0.0,H,1.4,4.0,10.0,-1.0,0.0,0.0,0.0,2,5,0,0,0,20,False
34,29/08/15,Reims,Lorient,4.0,1.0,H,2.25,3.1,3.5,1.0,4.0,0.0,0.0,6,9,0,0,0,20,False
35,29/08/15,Rennes,Toulouse,3.0,1.0,H,2.15,3.25,3.6,1.0,3.0,0.0,-2.0,6,9,4,4,0,20,False
36,29/08/15,Troyes,Montpellier,0.0,0.0,D,2.5,3.1,3.0,0.0,0.0,-4.0,-4.0,0,0,0,1,0,20,False
37,30/08/15,Bordeaux,Nantes,2.0,0.0,H,2.0,3.25,4.2,-1.0,1.0,2.0,0.0,2,5,7,7,0,20,False
38,30/08/15,Monaco,Paris SG,0.0,3.0,A,4.2,3.25,2.0,1.0,-2.0,4.0,7.0,5,5,9,12,0,20,False
39,30/08/15,St Etienne,Bastia,2.0,1.0,H,1.73,3.4,5.75,0.0,1.0,0.0,0.0,4,7,0,0,0,20,False
40,11/09/15,Paris SG,Bordeaux,2.0,2.0,D,1.25,5.75,13.0,7.0,7.0,1.0,1.0,12,13,5,6,0,20,False
41,12/09/15,Lorient,Angers,3.0,1.0,H,1.91,3.3,4.5,0.0,0.0,4.0,2.0,0,0,8,8,0,20,False
42,12/09/15,Lyon,Lille,0.0,0.0,D,1.83,3.4,4.75,4.0,4.0,0.0,0.0,7,8,5,6,0,20,False
43,12/09/15,Montpellier,St Etienne,1.0,2.0,A,2.5,3.1,3.1,-4.0,-5.0,1.0,2.0,1,1,7,10,0,20,False
44,12/09/15,Nice,Guingamp,0.0,1.0,A,2.25,3.1,3.5,0.0,-1.0,-3.0,-2.0,5,5,3,6,0,20,False
45,12/09/15,Toulouse,Reims,2.0,2.0,D,2.0,3.5,3.75,-2.0,-2.0,4.0,4.0,4,5,9,10,0,20,False
46,12/09/15,Troyes,Caen,1.0,3.0,A,2.25,3.2,3.4,0.0,0.0,-3.0,-1.0,0,0,6,9,0,20,False
47,13/09/15,Ajaccio GFCO,Monaco,0.0,1.0,A,4.5,3.3,1.91,0.0,0.0,-2.0,-1.0,0,0,5,8,0,20,False
48,13/09/15,Marseille,Bastia,4.0,1.0,H,1.44,4.2,8.5,2.0,5.0,0.0,0.0,3,6,0,0,0,20,False
49,13/09/15,Nantes,Rennes,0.0,2.0,A,2.6,2.88,3.1,0.0,-2.0,3.0,5.0,7,7,9,12,0,20,False
50,18/09/15,Rennes,Lille,1.0,1.0,D,2.38,3.0,3.4,5.0,5.0,0.0,0.0,12,13,6,7,0,20,False
51,19/09/15,Angers,Troyes,1.0,0.0,H,2.1,3.1,4.0,2.0,3.0,0.0,0.0,8,11,0,0,0,20,False
52,19/09/15,Bastia,Nice,1.0,3.0,A,2.25,3.1,3.5,0.0,0.0,-1.0,1.0,0,0,5,8,0,20,False
53,19/09/15,Caen,Montpellier,2.0,1.0,H,2.15,3.1,3.75,-1.0,0.0,-5.0,-6.0,9,12,1,1,0,20,False
54,19/09/15,Guingamp,Ajaccio GFCO,2.0,1.0,H,1.85,3.3,4.75,-2.0,-1.0,0.0,0.0,6,9,0,0,0,20,False
55,19/09/15,Reims,Paris SG,1.0,1.0,D,8.0,4.75,1.4,4.0,4.0,7.0,7.0,10,11,13,14,0,20,False
56,20/09/15,Bordeaux,Toulouse,1.0,1.0,D,2.1,3.1,4.0,1.0,1.0,-2.0,-2.0,6,7,5,6,0,20,False
57,20/09/15,Marseille,Lyon,1.0,1.0,D,2.05,3.3,3.8,5.0,5.0,4.0,4.0,6,7,8,9,0,20,False
58,20/09/15,Monaco,Lorient,2.0,3.0,A,1.7,3.6,5.5,-1.0,-2.0,0.0,0.0,8,8,0,0,0,20,False
59,20/09/15,St Etienne,Nantes,2.0,0.0,H,1.67,3.5,6.0,2.0,4.0,-2.0,-4.0,10,13,7,7,0,20,False
60,22/09/15,Angers,Reims,0.0,0.0,D,2.5,3.0,3.2,3.0,3.0,4.0,4.0,11,12,11,12,0,20,False
61,22/09/15,Paris SG,Guingamp,3.0,0.0,H,1.2,6.5,17.0,7.0,10.0,-1.0,-4.0,14,17,9,9,0,20,False
62,23/09/15,Ajaccio GFCO,Rennes,1.0,1.0,D,3.5,3.0,2.3,0.0,0.0,5.0,5.0,0,0,13,14,0,20,False
63,23/09/15,Lorient,Caen,2.0,0.0,H,2.2,3.2,3.5,0.0,0.0,0.0,-2.0,0,0,12,12,0,20,False
64,23/09/15,Lyon,Bastia,2.0,0.0,H,1.5,4.0,7.5,4.0,6.0,0.0,0.0,9,12,0,0,0,20,False
65,23/09/15,Nice,Bordeaux,6.0,1.0,H,2.7,3.0,2.88,1.0,6.0,1.0,-4.0,8,11,7,7,0,20,False
