,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HTGDBG,HTGDAG,ATGDBG,ATGDAG,HTPBG,HTPAG,ATPBG,ATPAG,RATIO,CC,GO
0,08/08/14,Reims,Paris SG,2,2,D,9.5,4.5,1.36,0,0,0,0,0,1,0,1,0,20,False
1,09/08/14,Bastia,Marseille,3,3,D,3.9,3.1,2.05,0,0,0,0,0,0,0,1,0,20,False
2,09/08/14,Evian Thonon Gaillard,Caen,0,3,A,2.38,3.2,3.0,0,0,0,3,0,0,0,3,0,20,False
3,09/08/14,Guingamp,St Etienne,0,2,A,3.3,3.1,2.3,0,-2,0,2,0,0,0,3,0,20,False
4,09/08/14,Lille,Metz,0,0,D,1.5,4.1,6.5,0,0,0,0,0,1,0,0,0,20,False
5,09/08/14,Montpellier,Bordeaux,0,1,A,2.3,3.1,3.2,0,-1,0,1,0,0,0,3,0,20,False
6,09/08/14,Nantes,Lens,1,0,H,2.0,3.25,3.9,0,1,0,0,0,3,0,0,0,20,False
7,09/08/14,Nice,Toulouse,3,2,H,2.63,3.1,2.75,0,1,0,-1,0,3,0,0,0,20,False
8,10/08/14,Lyon,Rennes,2,0,H,1.8,3.4,4.75,0,2,0,-2,0,3,0,0,0,20,False
9,10/08/14,Monaco,Lorient,1,2,A,1.4,4.33,8.5,0,-1,0,0,0,0,0,0,0,20,False
10,15/08/14,Caen,Lille,0,1,A,3.6,3.1,2.15,3,2,0,1,3,3,1,4,0,20,False
11,16/08/14,Lens,Guingamp,0,1,A,2.88,3.0,2.63,0,0,-2,-1,0,0,0,3,0,20,False
12,16/08/14,Lorient,Nice,0,0,D,1.75,3.4,5.0,0,0,1,1,0,0,3,4,0,20,False
13,16/08/14,Metz,Nantes,1,1,D,2.38,3.0,3.2,0,0,1,1,0,0,3,4,0,20,False
14,16/08/14,Paris SG,Bastia,2,0,H,1.13,8.0,19.0,0,2,0,0,1,4,0,0,0,20,False
15,16/08/14,Rennes,Evian Thonon Gaillard,6,2,H,1.73,3.5,5.0,-2,2,0,0,0,3,0,0,0,20,False
16,16/08/14,Toulouse,Lyon,2,1,H,2.5,3.25,2.8,-1,0,2,1,0,3,3,3,0,20,False
17,17/08/14,Bordeaux,Monaco,4,1,H,2.8,3.2,2.55,1,4,-1,-4,3,6,0,0,0,20,False
18,17/08/14,Marseille,Montpellier,0,2,A,1.55,3.75,6.5,0,-2,-1,1,1,1,0,3,0,20,False
19,17/08/14,St Etienne,Reims,3,1,H,1.5,3.75,7.5,2,4,0,-2,3,6,1,1,0,20,False
20,22/08/14,Evian Thonon Gaillard,Paris SG,0,0,D,9.0,4.6,1.36,0,0,2,2,0,0,4,5,0,20,False
21,23/08/14,Bastia,Toulouse,1,0,H,2.9,3.1,2.5,0,0,0,-1,0,0,3,3,0,20,False
22,23/08/14,Guingamp,Marseille,0,1,A,2.9,3.1,2.5,-1,-2,-2,-1,3,3,1,4,0,20,False
23,23/08/14,Lille,Lorient,2,0,H,1.75,3.4,5.0,1,3,0,0,4,7,0,0,0,20,False
24,23/08/14,Montpellier,Metz,2,0,H,1.85,3.5,4.2,1,3,0,0,3,6,0,0,0,20,False
25,23/08/14,Nice,Bordeaux,1,3,A,3.2,3.2,2.3,1,-1,4,6,4,4,6,9,0,20,False
26,23/08/14,Reims,Caen,0,2,A,2.38,3.25,3.0,-2,-4,2,4,1,1,3,6,0,20,False
27,24/08/14,Lyon,Lens,0,1,A,1.44,4.33,7.0,1,0,0,0,3,3,0,0,0,20,False
28,24/08/14,Nantes,Monaco,0,1,A,3.5,3.3,2.1,1,0,-4,-3,4,4,0,3,0,20,False
29,24/08/14,St Etienne,Rennes,0,0,D,1.73,3.3,5.5,4,4,2,2,6,7,3,4,0,20,False
30,29/08/14,Marseille,Nice,4,0,H,1.5,4.0,7.0,-1,3,-1,-5,4,7,4,4,0,20,False
31,30/08/14,Caen,Rennes,0,1,A,2.63,3.1,2.75,4,3,2,3,6,6,4,7,0,20,False
32,30/08/14,Lens,Reims,4,2,H,2.1,3.2,3.6,0,0,-4,-6,0,0,1,1,0,20,False
33,30/08/14,Lorient,Guingamp,4,0,H,2.1,3.2,3.6,0,0,-2,-6,0,0,3,3,0,20,False
34,30/08/14,Monaco,Lille,1,1,D,1.95,3.2,4.2,-3,-3,3,3,3,4,7,8,0,20,False
35,30/08/14,Nantes,Montpellier,1,0,H,2.25,3.1,3.4,0,1,3,2,4,7,6,6,0,20,False
36,30/08/14,Toulouse,Evian Thonon Gaillard,1,0,H,1.75,3.4,5.0,-1,0,0,0,3,6,0,0,0,20,False
37,31/08/14,Bordeaux,Bastia,1,1,D,1.62,3.6,6.0,6,6,0,0,9,10,0,0,0,20,False
38,31/08/14,Metz,Lyon,2,1,H,2.8,3.1,2.6,0,0,0,-1,0,0,3,3,0,20,False
39,31/08/14,Paris SG,St Etienne,5,0,H,1.53,3.8,6.5,2,7,4,-1,5,8,7,7,0,20,False
40,12/09/14,Lyon,Monaco,2,1,H,2.5,3.1,2.9,-1,0,-3,-4,3,6,4,4,0,20,False
41,13/09/14,Bastia,Lens,1,1,D,1.95,3.2,4.2,0,0,0,0,0,0,0,0,0,20,False
42,13/09/14,Montpellier,Lorient,1,0,H,2.05,3.1,3.9,2,3,0,0,6,9,0,0,0,20,False
43,13/09/14,Nice,Metz,1,0,H,2.25,3.1,3.4,-5,-4,0,0,4,7,0,0,0,20,False
44,13/09/14,Reims,Toulouse,2,0,H,2.88,3.3,2.4,-6,-4,0,-2,1,4,6,6,0,20,False
45,13/09/14,Rennes,Paris SG,1,1,D,7.0,4.0,1.5,3,3,7,7,7,8,8,9,0,20,False
46,13/09/14,St Etienne,Caen,1,0,H,1.65,3.6,5.5,-1,0,3,2,7,10,6,6,0,20,False
47,14/09/14,Evian Thonon Gaillard,Marseille,1,3,A,3.8,3.1,2.1,0,0,3,5,0,0,7,10,0,20,False
48,14/09/14,Guingamp,Bordeaux,2,1,H,2.75,2.88,2.8,-6,-5,6,5,3,6,10,10,0,20,False
49,14/09/14,Lille,Nantes,2,0,H,1.73,3.4,5.25,3,5,1,-1,8,11,7,7,0,20,False
50,19/09/14,Bordeaux,Evian Thonon Gaillard,2,1,H,1.53,3.8,6.5,5,6,0,0,10,13,0,0,0,20,False
51,20/09/14,Lorient,Reims,0,1,A,1.75,3.4,5.0,0,0,-4,-3,0,0,4,7,0,20,False
52,20/09/14,Marseille,Rennes,3,0,H,1.57,3.75,6.0,5,8,3,0,10,13,8,8,0,20,False
53,20/09/14,Metz,Bastia,3,1,H,2.2,3.2,3.4,0,0,0,0,0,0,0,0,0,20,False
54,20/09/14,Nantes,Nice,2,1,H,1.83,3.25,4.75,-1,0,-4,-5,7,10,7,7,0,20,False
55,20/09/14,Toulouse,Caen,3,3,D,2.25,3.1,3.4,-2,-2,2,2,6,7,6,7,0,20,False
