,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HTGDBG,HTGDAG,ATGDBG,ATGDAG,HTPBG,HTPAG,ATPBG,ATPAG,RATIO,CC,GO
0,08/08/09,Auxerre,Sochaux,0,1,A,2.0,3.0,4.33,0,0,0,0,0,0,0,0,0,20,False
1,08/08/09,Grenoble,Marseille,0,2,A,4.75,3.1,1.91,0,0,0,2,0,0,0,3,0,20,False
2,08/08/09,Le Mans,Lyon,2,2,D,3.75,3.1,2.1,0,0,0,0,0,0,0,1,0,20,False
3,08/08/09,Monaco,Toulouse,1,0,H,2.3,3.0,3.4,0,1,0,-1,0,3,0,0,0,20,False
4,08/08/09,Montpellier,Paris SG,1,1,D,3.5,3.0,2.25,0,0,0,0,0,1,0,1,0,20,False
5,08/08/09,Rennes,Boulogne,3,0,H,1.53,3.6,7.5,0,3,0,0,0,3,0,0,0,20,False
6,08/08/09,St Etienne,Nice,0,2,A,1.91,3.2,4.33,0,-2,0,2,0,0,0,3,0,20,False
7,08/08/09,Valenciennes,Nancy,1,3,A,2.2,2.9,3.75,0,0,0,0,0,0,0,0,0,20,False
8,09/08/09,Bordeaux,Lens,4,1,H,1.5,3.5,7.0,0,3,0,0,0,3,0,0,0,20,False
9,09/08/09,Lille,Lorient,1,2,A,1.67,3.3,5.5,0,-1,0,0,0,0,0,0,0,20,False
10,15/08/09,Lens,Auxerre,2,0,H,2.15,3.0,3.8,0,0,0,0,0,0,0,0,0,20,False
11,15/08/09,Lorient,Montpellier,2,2,D,1.91,3.25,4.33,0,0,0,0,0,0,1,2,0,20,False
12,15/08/09,Lyon,Valenciennes,1,0,H,1.33,4.5,12.0,0,1,0,0,1,4,0,0,0,20,False
13,15/08/09,Nancy,Monaco,4,0,H,2.25,3.0,3.5,0,0,1,-3,0,0,3,3,0,20,False
14,15/08/09,Paris SG,Le Mans,3,1,H,1.62,3.6,6.0,0,2,0,0,1,4,0,0,0,20,False
15,15/08/09,Sochaux,Bordeaux,2,3,A,4.0,3.25,2.0,0,0,3,4,0,0,3,6,0,20,False
16,15/08/09,Toulouse,St Etienne,3,1,H,1.91,3.3,4.2,-1,1,-2,-4,0,3,0,0,0,20,False
17,16/08/09,Boulogne,Grenoble,2,1,H,2.38,3.0,3.25,0,0,0,0,0,0,0,0,0,20,False
18,16/08/09,Marseille,Lille,1,0,H,1.73,3.5,5.0,2,3,-1,-2,3,6,0,0,0,20,False
19,16/08/09,Nice,Rennes,1,1,D,2.5,2.9,3.1,2,2,3,3,3,4,3,4,0,20,False
20,22/08/09,Auxerre,Lyon,0,3,A,4.0,3.2,2.0,0,0,1,4,0,0,4,7,0,20,False
21,22/08/09,Le Mans,Nancy,2,1,H,2.35,3.0,3.3,0,0,0,0,0,0,0,0,0,20,False
22,22/08/09,Monaco,Lorient,2,0,H,2.1,3.0,4.0,-3,-1,0,0,3,6,0,0,0,20,False
23,22/08/09,Montpellier,Sochaux,2,0,H,2.3,3.0,3.4,0,2,0,0,2,5,0,0,0,20,False
24,22/08/09,Rennes,Marseille,1,1,D,3.0,3.0,2.5,3,3,3,3,4,5,6,7,0,20,False
25,22/08/09,St Etienne,Boulogne,0,1,A,1.75,3.3,5.25,-4,-5,0,0,0,0,0,0,0,20,False
26,22/08/09,Valenciennes,Paris SG,2,3,A,3.6,3.0,2.2,0,0,2,3,0,0,4,7,0,20,False
27,23/08/09,Bordeaux,Nice,4,0,H,1.5,3.75,7.5,4,8,2,-2,6,9,4,4,0,20,False
28,23/08/09,Grenoble,Lens,1,2,A,2.45,2.9,3.2,0,0,0,0,0,0,0,0,0,20,False
29,23/08/09,Lille,Toulouse,1,1,D,2.0,3.1,4.2,-2,-2,1,1,0,1,3,4,0,20,False
30,29/08/09,Boulogne,Auxerre,0,0,D,2.5,2.9,3.1,0,0,0,0,0,0,0,0,0,20,False
31,29/08/09,Lens,Rennes,2,2,D,2.6,2.9,3.0,0,0,3,3,0,0,5,6,0,20,False
32,29/08/09,Lorient,Le Mans,1,0,H,2.1,3.1,3.8,0,0,0,0,0,0,0,0,0,20,False
33,29/08/09,Lyon,Nancy,3,1,H,1.36,4.5,10.0,4,6,0,0,7,10,0,0,0,20,False
34,29/08/09,Nice,Montpellier,0,3,A,2.0,3.1,4.2,-2,-5,2,5,4,4,5,8,0,20,False
